xmin,ymin,xmax,ymax,zloc
567,164,590,195,54
519,162,545,194,66
550,173,614,236,21
305,177,341,196,59
789,178,805,211,36
1054,105,1241,249,15
0,212,41,328,10
69,217,112,254,33
0,218,93,297,16
879,149,932,173,34
884,123,923,169,40
409,177,520,250,19
502,185,574,229,27
602,184,638,209,43
677,181,704,198,66
692,175,717,229,24
875,185,975,253,18
287,172,514,285,11
411,172,454,296,10
842,169,890,215,34
657,179,709,219,26
731,180,882,275,13
715,175,762,203,39
816,59,1112,266,16
602,172,626,220,25
301,131,451,213,34
444,132,516,207,36
505,128,738,201,39
982,215,1140,373,5
920,205,1000,352,6
763,198,823,287,10
800,197,863,285,10
671,168,710,206,31
591,172,633,199,40
671,174,702,195,47
0,73,444,270,23
704,171,744,200,38
427,179,600,281,12
76,181,384,306,11
478,182,515,207,43
591,158,651,188,89
69,200,435,374,6
0,209,198,374,6
1210,199,1241,374,3
478,187,549,249,20
530,187,573,226,31
547,171,584,212,46
667,182,790,230,25
637,180,714,212,39
572,175,596,199,65
380,167,523,288,14
958,167,1036,254,14
130,186,355,257,16
501,177,556,194,62
596,174,664,239,19
701,149,725,184,83
0,178,117,228,25
290,187,464,288,12
590,174,629,213,32
189,158,256,356,6
752,164,791,288,10
546,177,560,214,29
535,174,549,214,29
688,124,780,363,6
778,149,861,355,6
935,155,1006,306,7
0,137,159,374,1
52,248,401,374,6
452,186,572,264,16
540,182,621,237,22
611,182,671,222,28
804,165,846,190,53
964,157,1023,289,9
236,169,288,339,7
413,169,489,291,10
811,152,841,249,13
583,164,608,237,17
524,165,549,230,19
560,165,577,224,22
708,157,729,222,21
574,179,616,208,39
0,142,336,374,5
222,166,454,308,10
658,166,697,201,34
669,174,700,196,46
22,78,452,265,23
701,171,742,201,36
357,182,567,301,10
0,183,326,330,9
483,182,518,207,44
457,176,528,229,23
536,176,565,202,44
559,176,578,192,68
589,172,633,216,29
563,175,581,191,76
593,162,621,192,75
0,70,363,303,15
281,129,447,225,30
708,167,728,184,63
0,105,200,239,20
0,202,361,373,3
368,183,504,279,12
587,169,643,220,24
519,170,571,215,26
101,160,334,287,12
459,179,505,227,27
448,181,486,208,42
0,57,245,374,5
678,164,705,243,17
304,177,359,304,9
0,167,85,374,4
0,198,233,362,7
357,177,507,223,23
687,171,861,232,18
670,163,823,222,22
418,175,519,208,33
451,175,533,202,39
694,174,735,207,33
797,169,844,185,64
560,171,569,196,49
886,166,939,185,62
1053,158,1115,181,59
175,191,373,247,19
317,196,504,314,10
744,0,1241,374,6
657,176,720,224,24
458,184,538,243,19
704,177,853,287,12
635,178,665,203,41
5,199,126,269,18
902,156,947,228,18
709,175,738,203,41
654,176,688,201,47
359,187,456,240,23
420,175,496,228,28
686,173,733,211,31
692,163,724,207,36
1182,149,1241,197,21
0,187,326,374,7
246,194,425,297,12
359,185,479,258,16
550,176,587,202,43
605,174,626,190,70
660,189,747,252,19
599,182,667,247,19
774,172,963,270,13
705,179,802,228,24
146,192,340,290,14
452,183,509,222,31
527,181,563,206,48
241,191,355,242,24
327,181,399,228,30
581,180,609,196,68
410,183,465,213,40
486,184,533,204,53
71,187,194,239,22
87,185,204,220,32
648,178,673,194,72
783,184,1176,339,7
279,178,368,242,22
505,185,557,219,31
639,187,879,275,13
536,176,569,194,58
717,174,738,193,56
659,182,722,240,22
0,0,222,375,1
207,189,361,280,14
345,190,424,240,22
414,131,493,217,38
744,186,780,207,49
824,183,852,198,69
0,192,334,374,5
311,166,473,282,13
476,175,570,241,19
760,178,894,277,13
749,179,821,244,19
968,150,1045,197,33
906,152,973,193,34
806,140,852,179,70
359,182,400,285,11
19,179,206,238,18
569,177,636,240,19
0,212,108,265,24
106,200,220,253,25
1160,213,1241,255,16
1186,176,1241,246,18
1153,180,1221,212,34
854,154,921,293,9
362,181,534,261,15
610,182,684,222,28
683,182,729,213,36
713,181,750,207,44
739,181,769,203,52
855,185,886,212,43
531,177,554,195,64
603,177,630,204,46
167,187,280,244,22
449,183,483,204,53
812,184,1241,374,4
733,182,934,317,9
683,178,792,258,15
470,178,539,233,22
671,179,733,228,23
650,179,692,214,31
634,177,666,203,42
627,154,664,198,49
568,172,674,273,13
862,148,932,247,14
0,0,494,367,12
810,154,875,302,8
1184,141,1241,187,24
346,175,449,248,17
420,170,540,256,16
966,144,1039,182,35
1084,132,1173,177,36
1004,144,1087,178,36
599,171,631,197,47
557,165,591,181,80
591,174,640,220,26
1187,197,1241,374,4
386,185,455,225,27
684,174,809,227,21
682,169,770,211,29
651,164,736,204,36
646,173,712,199,43
393,175,444,206,42
536,160,566,188,80
425,175,465,200,48
490,176,516,192,71
372,177,404,199,49
135,178,175,203,44
1073,148,1241,275,13
0,191,78,374,4
0,183,199,341,7
0,159,335,300,10
233,166,440,248,16
274,177,461,237,18
95,175,371,266,13
451,174,549,205,34
998,161,1152,225,21
668,174,774,212,30
924,136,1241,374,7
530,162,585,223,26
833,127,1087,223,21
318,182,401,229,25
214,166,318,230,25
455,171,499,205,32
692,171,770,215,27
573,163,607,193,44
610,149,646,187,55
745,166,827,212,28
1119,132,1241,202,28
566,136,602,190,51
93,199,259,236,24
37,187,172,237,25
0,192,32,233,25
0,191,79,233,25
0,173,36,215,35
589,187,668,253,17
185,184,302,240,22
682,157,763,235,21
325,175,390,216,32
409,180,515,231,24
445,184,542,220,30
485,181,556,211,37
520,180,572,200,51
579,180,622,220,29
329,179,388,205,42
466,178,527,202,46
793,146,1130,369,7
682,172,753,230,23
495,181,548,222,29
787,180,1089,304,10
0,185,277,293,11
739,184,969,278,12
66,176,291,264,13
110,170,328,253,16
202,166,363,245,18
242,169,366,224,24
631,172,653,215,27
415,134,483,206,38
474,132,700,203,41
872,203,975,321,7
841,198,902,304,9
738,193,784,265,13
720,196,767,258,14
381,186,479,256,16
446,151,526,230,24
496,183,587,252,17
853,151,933,258,12
519,180,550,206,40
57,202,394,374,8
0,210,119,374,2
814,164,997,262,13
346,185,485,278,14
455,186,532,243,20
486,186,549,232,25
664,178,721,227,24
785,164,985,229,17
679,180,745,220,29
716,175,783,212,33
721,170,752,196,42
340,183,415,224,27
487,180,524,205,44
581,177,650,244,19
788,160,833,230,19
448,115,553,224,31
112,1,518,325,15
602,176,634,198,48
815,147,902,176,38
543,164,570,185,52
589,164,611,185,57
613,162,621,184,58
473,167,484,191,57
518,165,740,374,7
376,185,418,205,53
327,183,399,214,38
335,187,374,208,52
425,181,464,201,53
524,149,594,197,43
753,181,905,276,13
604,172,676,198,42
487,170,502,214,28
845,171,912,223,22
796,166,866,192,45
962,163,1054,189,43
381,178,444,204,43
247,181,303,205,46
589,175,611,190,72
553,175,579,190,72
609,154,657,200,50
6,184,193,262,19
53,185,265,288,14
301,185,399,235,24
703,154,740,188,81
385,175,451,221,30
451,178,500,211,40
497,180,532,203,50
788,141,882,306,8
205,186,358,240,20
208,180,327,223,27
459,174,520,205,42
565,170,601,195,58
576,174,629,202,40
711,173,737,190,64
739,170,786,211,30
749,175,774,194,52
778,171,799,185,74
468,183,535,203,51
333,177,489,277,12
1084,129,1195,213,15
993,137,1070,203,20
562,158,594,225,19
790,154,834,194,30
402,157,427,234,17
858,151,887,197,27
196,177,229,234,21
283,168,364,241,17
241,176,270,234,20
210,172,242,244,18
334,162,354,234,19
1137,137,1223,177,28
1028,151,1157,185,28
367,194,448,247,22
662,175,723,221,25
417,191,481,231,27
464,181,511,218,36
1056,131,1168,181,35
0,208,101,248,30
36,203,157,247,29
646,165,700,204,34
364,195,436,239,30
939,163,1129,222,19
863,164,1030,214,22
595,175,627,206,41
666,163,724,194,72
0,103,272,267,19
317,186,376,218,37
426,182,458,202,57
438,169,465,196,79
38,181,140,224,27
382,181,491,251,17
269,176,317,202,46
307,175,355,199,51
547,176,571,194,58
506,172,549,209,35
586,174,623,211,33
594,177,621,204,48
623,163,660,193,74
133,177,268,244,23
706,162,820,248,16
453,179,526,235,22
550,173,603,211,32
685,170,744,209,28
405,184,530,263,15
1199,108,1241,348,5
36,165,248,374,5
835,166,1241,374,5
726,154,916,306,10
688,153,806,252,15
678,170,747,231,21
656,160,672,199,35
661,162,676,200,36
530,167,560,197,47
605,167,616,191,52
428,178,495,225,24
0,197,273,374,7
197,186,398,301,12
337,176,452,252,17
588,166,615,196,76
4,199,128,248,25
120,201,178,228,42
940,180,1003,202,49
919,162,1241,374,3
804,153,842,240,16
803,157,850,239,17
472,172,524,220,29
646,170,661,205,36
323,187,345,243,19
323,158,339,202,29
421,163,432,195,39
324,155,336,189,40
960,180,1069,229,23
1034,183,1155,229,23
1097,183,1223,230,24
346,154,357,191,39
396,166,429,255,13
501,157,553,255,13
676,152,784,270,11
79,151,225,335,7
297,155,312,195,34
221,153,232,197,30
997,173,1017,210,35
0,202,349,374,3
190,194,462,367,7
71,197,289,323,9
177,188,351,278,13
328,182,449,236,20
360,176,472,228,23
416,180,496,214,31
456,174,530,203,41
879,188,1241,374,3
661,180,728,230,22
645,126,719,212,32
747,166,761,215,26
36,186,184,236,22
588,176,624,208,35
279,178,340,208,37
707,157,837,261,14
415,167,437,241,18
782,174,860,203,41
593,176,617,199,51
509,180,558,218,29
745,183,941,315,10
693,175,817,269,14
679,173,756,244,18
637,176,666,202,43
647,176,689,212,33
391,183,456,206,48
766,160,790,230,19
565,175,616,225,25
453,183,494,211,38
531,177,560,199,50
273,180,307,226,28
0,200,303,369,3
991,147,1029,216,18
1213,130,1223,226,12
845,161,1004,210,22
45,196,447,374,6
711,186,878,307,11
453,185,532,243,20
533,179,563,204,41
628,176,657,200,46
1217,85,1223,369,2
669,159,704,194,40
643,162,658,211,26
626,164,645,213,26
352,168,381,252,15
1110,160,1241,288,9
90,178,319,273,14
543,174,665,215,27
695,173,727,195,49
563,176,591,195,58
520,176,552,195,59
159,189,249,250,23
122,177,204,230,42
212,197,278,236,30
808,173,823,195,57
0,111,149,287,10
804,139,872,319,7
1201,177,1241,360,6
891,125,1231,319,9
676,210,1048,305,11
656,173,892,262,14
0,176,63,355,8
581,183,728,244,18
610,186,748,253,16
754,159,817,210,29
319,192,406,238,23
219,194,279,242,26
1047,177,1179,218,30
748,163,893,265,15
0,208,267,374,6
170,187,405,313,10
526,173,570,203,37
724,176,802,229,21
709,170,767,216,26
702,170,747,206,32
591,170,614,187,64
493,183,549,226,26
558,180,580,200,58
343,179,379,203,59
591,179,633,220,30
172,196,368,305,12
388,190,463,241,23
431,188,493,227,29
812,153,946,204,24
808,152,897,200,27
778,158,875,201,29
1208,127,1241,174,24
1149,128,1241,175,26
1107,134,1241,174,29
1074,138,1215,176,32
475,186,522,217,36
666,175,714,212,30
3,173,121,220,28
135,175,207,209,35
159,166,223,195,45
573,171,633,230,22
760,173,771,200,45
258,164,438,248,17
321,171,472,230,21
804,152,871,197,35
857,161,917,193,36
374,175,495,216,26
398,175,492,214,29
404,167,515,208,32
10,164,103,201,35
554,172,616,233,21
153,167,206,195,45
764,178,776,206,42
581,178,636,223,24
0,189,164,374,4
287,164,471,259,15
356,163,486,243,18
412,177,511,221,26
652,148,715,206,32
583,173,617,204,37
0,133,374,360,7
0,116,226,235,21
0,175,44,219,24
296,172,339,192,55
222,157,275,189,57
570,169,616,215,27
949,151,1008,268,10
707,161,735,216,26
683,169,694,201,40
553,184,598,220,27
502,183,537,210,39
837,190,921,223,32
955,189,1046,226,34
560,165,585,198,52
784,177,1124,374,6
0,193,137,374,5
0,159,290,307,10
111,185,342,272,13
247,186,435,257,15
302,181,468,247,18
335,179,462,241,20
338,174,490,230,22
394,177,500,219,27
436,170,526,212,37
573,177,582,198,55
677,184,746,238,20
731,171,853,221,25
684,172,757,204,40
633,179,659,198,54
743,171,794,214,28
776,173,802,192,52
825,170,845,184,73
570,182,644,253,17
58,205,232,270,19
0,209,132,259,25
307,195,361,227,40
582,170,618,204,34
596,165,626,196,43
822,180,1241,374,4
727,171,890,304,10
708,168,814,253,15
658,164,711,212,28
0,189,251,303,12
257,181,376,243,19
637,167,661,190,53
0,186,305,374,2
233,178,571,374,7
917,200,1241,374,5
689,166,741,206,33
837,176,908,238,19
840,182,894,226,24
1000,172,1096,247,17
916,177,969,208,36
468,185,511,223,31
481,183,522,214,38
264,175,408,229,25
844,209,1241,374,3
425,182,542,273,14
500,164,585,243,19
553,169,615,225,25
624,179,669,207,41
35,165,198,335,8
419,144,541,233,22
638,172,682,227,24
1018,164,1053,247,14
928,165,958,237,17
823,182,876,227,20
347,180,438,211,35
605,177,632,202,46
888,190,1241,374,3
689,179,775,243,18
764,174,1027,348,8
182,193,325,243,23
2,194,164,246,23
681,177,742,229,23
657,177,696,208,37
591,175,657,239,20
739,98,880,218,29
720,130,786,202,41
711,139,757,196,53
271,180,288,230,23
541,181,566,197,63
439,183,507,206,51
834,194,1241,374,6
192,180,398,256,15
255,181,454,249,17
289,178,458,238,19
747,177,927,304,11
370,181,493,233,22
395,172,500,224,24
642,163,675,197,52
486,176,553,199,48
633,162,657,190,69
78,202,387,374,7
329,168,477,282,13
884,170,1241,374,3
51,170,365,305,10
732,35,1006,309,10
696,146,803,241,18
682,167,741,220,26
662,169,696,200,41
551,176,580,200,47
589,172,618,193,58
0,190,147,355,8
611,177,643,201,50
443,184,500,217,35
474,176,523,212,40
659,175,688,202,44
962,162,1053,192,34
0,206,264,374,3
400,173,526,281,14
544,185,606,225,30
630,185,673,212,41
0,195,206,374,7
889,189,1241,374,3
460,182,513,216,32
678,170,697,211,29
534,177,600,199,49
337,183,418,211,39
101,181,205,234,24
641,174,710,195,53
511,155,597,199,60
222,178,261,261,16
846,157,1036,281,12
581,181,661,245,18
657,175,692,209,34
768,169,811,210,33
660,145,706,262,10
549,129,578,225,14
592,142,623,224,14
654,147,678,222,15
413,145,453,193,26
438,172,575,279,12
772,152,816,255,11
619,123,708,223,21
577,178,614,211,36
0,206,198,375,2
233,188,362,253,17
373,190,501,272,14
358,184,432,227,27
462,184,518,221,30
509,159,550,205,46
0,188,124,269,14
289,179,361,217,32
573,179,605,209,41
0,188,175,325,9
238,105,461,293,13
444,200,493,234,22
450,185,512,229,25
487,184,528,213,37
536,173,556,196,72
0,185,111,278,13
70,146,177,330,7
583,175,620,204,37
818,166,831,203,34
934,166,979,274,12
681,172,696,205,43
544,200,582,236,34
671,198,693,222,52
164,198,347,297,12
693,175,802,251,16
314,192,428,256,18
412,178,482,230,26
636,176,656,193,65
144,188,363,306,11
335,175,437,241,20
842,161,918,319,7
602,178,663,238,21
797,186,1018,325,9
1039,140,1095,193,30
880,173,929,335,7
1112,127,1241,374,0
805,175,1241,374,5
660,181,785,262,14
413,176,447,249,18
315,192,414,257,17
414,184,450,211,38
537,179,570,205,43
406,173,417,201,47
400,178,408,205,47
447,175,479,238,20
535,180,567,204,45
586,171,619,208,63
765,170,812,251,17
362,193,401,217,53
635,164,678,195,73
251,162,325,221,37
192,192,290,239,25
461,178,490,199,71
393,186,475,235,24
539,177,558,207,39
549,179,582,200,56
267,153,311,243,15
290,155,319,240,15
629,158,780,230,20
1107,170,1160,199,48
715,177,727,210,38
57,188,127,229,29
190,187,288,234,27
382,183,426,208,49
0,203,256,374,6
351,171,376,236,21
600,179,861,267,12
818,143,904,320,7
680,148,728,185,77
0,180,155,315,11
124,193,286,269,16
238,179,363,247,20
376,182,444,221,30
419,181,472,213,35
498,177,530,199,55
0,190,304,374,7
438,169,483,251,17
476,173,512,248,17
398,183,483,233,24
519,173,539,215,31
499,180,543,206,43
640,176,671,202,44
820,172,1241,374,4
0,163,168,374,6
637,175,728,243,19
580,177,607,195,56
0,194,173,374,6
0,190,272,321,9
57,179,336,290,11
695,181,842,274,13
265,185,463,251,17
670,180,740,224,24
303,179,452,239,19
646,170,682,201,43
277,180,412,232,22
334,182,443,222,27
1114,134,1231,254,11
982,151,1043,231,15
937,161,957,221,20
872,162,902,184,53
215,190,586,316,9
943,188,1241,314,9
568,180,610,222,30
81,190,276,279,14
297,188,388,243,23
395,184,444,221,33
0,196,358,374,6
316,191,461,282,13
475,183,525,222,28
499,160,547,212,36
562,178,594,206,38
979,140,1173,373,6
1051,132,1241,332,7
537,179,561,200,50
1046,171,1241,374,0
780,176,1097,355,7
719,175,828,260,13
308,191,421,262,18
480,185,516,211,40
640,173,673,199,44
496,183,529,206,46
566,176,616,225,25
822,162,864,186,57
869,157,936,190,46
939,138,1050,190,35
528,177,563,197,56
716,175,739,195,55
603,178,664,237,21
776,185,955,301,10
1023,143,1075,193,32
838,173,873,308,8
518,165,740,374,7
344,184,457,218,32
376,185,418,205,53
175,194,259,227,35
426,178,498,210,37
334,187,374,208,52
425,181,464,201,53
998,125,1241,374,2
811,155,940,256,13
777,131,852,210,26
929,190,1010,320,8
811,152,830,184,24
1,175,121,230,27
493,139,560,216,36
555,177,576,196,65
380,180,408,198,68
639,184,673,211,41
441,172,539,212,38
380,187,500,231,26
357,184,480,235,23
215,190,415,261,15
0,194,332,303,11
723,176,1026,374,8
0,216,387,374,4
624,171,660,203,57
783,179,909,248,17
1081,174,1130,204,38
864,181,964,233,22
945,179,1009,217,28
1041,156,1086,199,45
1019,177,1060,205,38
219,178,342,219,26
421,165,501,200,42
868,164,890,235,17
581,173,633,198,44
583,177,609,203,47
176,142,398,219,51
396,183,438,206,52
255,146,353,214,48
320,152,393,207,58
559,184,612,227,23
503,181,547,213,33
571,163,597,198,49
624,150,697,189,72
207,187,340,252,20
936,154,977,213,22
527,176,574,214,31
432,173,465,200,44
45,205,291,323,11
640,176,683,212,33
415,189,501,247,19
745,153,865,203,29
992,136,1119,180,35
589,175,616,202,46
60,197,258,287,14
405,181,450,214,38
552,177,572,198,60
580,176,621,214,32
76,175,288,278,13
323,185,476,282,13
282,183,393,241,20
480,183,543,226,25
445,180,489,208,39
533,162,564,198,57
0,185,139,265,15
183,181,299,234,22
590,162,618,191,75
175,192,258,222,38
0,170,58,216,24
306,174,347,194,55
574,173,615,214,31
677,177,818,224,23
646,177,711,201,45
635,163,725,229,21
389,184,455,237,22
432,187,478,220,30
598,177,678,248,15
498,169,576,230,21
620,169,672,218,24
1190,133,1241,204,15
1070,135,1238,198,19
0,183,421,374,4
948,191,1241,374,2
730,191,1000,374,7
307,188,487,335,9
410,188,522,272,14
685,181,806,271,14
656,183,735,245,19
513,182,563,223,29
539,172,581,214,35
561,175,598,209,41
871,138,1241,369,6
593,172,612,219,27
0,199,230,336,8
174,190,368,263,15
363,182,466,221,27
571,177,609,212,35
0,208,277,375,4
0,193,97,311,8
170,131,370,264,17
0,187,121,266,15
323,182,407,230,24
491,161,543,212,36
411,138,519,241,21
524,143,562,198,61
275,189,310,218,40
0,182,245,293,12
184,232,342,328,8
264,190,441,295,12
264,191,369,239,21
430,185,502,234,23
381,180,439,220,31
473,183,521,216,33
506,185,540,209,42
530,170,556,198,57
247,172,340,225,28
559,176,603,216,31
102,183,425,375,7
0,197,93,325,7
357,188,467,263,15
188,186,331,254,17
96,186,228,240,21
378,155,450,219,32
466,151,528,216,32
519,150,547,196,72
26,196,252,345,9
341,192,383,224,35
231,194,338,272,16
598,107,726,224,23
686,100,896,217,25
840,107,962,211,26
912,161,984,300,8
295,197,371,373,6
239,196,447,327,10
515,183,549,209,41
567,161,612,190,68
386,182,485,218,32
568,176,624,230,23
330,188,439,251,20
639,176,659,194,61
27,201,299,344,9
380,190,499,277,14
226,195,385,287,14
782,178,898,277,11
1109,152,1241,254,13
814,177,943,293,10
497,182,547,225,29
548,182,568,200,62
632,178,724,214,34
612,177,676,203,47
452,172,532,244,22
190,192,450,346,9
535,181,572,208,43
0,185,40,241,18
26,171,174,232,23
161,181,254,222,28
277,168,338,212,34
695,164,740,201,42
792,174,857,201,41
676,183,707,209,46
375,181,474,249,22
705,181,763,229,26
710,170,750,221,31
354,178,522,291,11
486,174,555,226,21
597,166,642,207,29
558,164,593,196,37
581,173,604,191,52
554,172,574,189,63
618,135,685,203,43
315,180,366,201,49
455,180,533,241,21
651,178,696,215,29
635,177,669,204,41
627,153,665,199,48
539,157,583,278,10
568,181,626,227,23
0,198,400,374,4
269,192,478,331,9
133,193,327,299,11
217,186,377,265,14
341,182,455,232,22
371,177,477,225,24
421,180,497,213,32
522,180,566,212,32
457,175,529,202,43
653,179,715,225,23
736,167,752,213,28
71,185,205,232,23
584,176,621,209,35
902,132,1022,299,9
783,168,801,211,29
803,167,818,210,29
800,182,817,207,29
720,170,731,201,39
748,180,1034,353,7
248,169,354,331,8
147,195,352,311,10
646,163,777,258,14
264,184,398,263,16
581,175,640,218,26
403,183,452,217,31
557,175,594,206,36
406,170,419,203,40
395,175,407,207,40
354,174,430,295,11
550,180,600,223,25
579,174,683,262,15
206,179,257,202,50
550,169,715,328,9
721,121,967,200,35
256,181,348,228,26
98,171,148,224,25
0,152,86,351,9
53,191,118,244,25
243,188,302,230,28
63,162,126,224,32
223,188,257,217,40
300,186,397,250,19
586,171,613,197,47
339,183,411,224,28
448,176,479,201,51
410,131,521,238,22
903,188,976,214,48
557,176,614,232,23
834,180,855,218,32
603,176,642,203,43
270,161,290,207,29
241,153,309,205,32
294,164,361,202,35
356,164,433,196,36
531,156,602,195,41
569,163,622,189,44
612,161,668,188,46
643,166,704,187,51
680,167,725,188,52
702,167,753,187,52
724,165,782,185,54
765,157,824,185,58
792,163,845,182,59
814,163,860,180,61
586,199,662,266,17
78,195,239,268,18
1005,190,1206,331,9
700,162,807,261,17
389,179,424,303,11
258,187,349,238,26
370,190,497,255,19
394,197,512,247,23
477,194,553,229,33
513,192,570,215,46
677,196,732,236,28
583,192,625,232,30
299,190,366,221,38
563,170,670,271,13
971,174,1241,374,5
800,156,1088,308,9
775,173,964,264,12
0,167,187,263,14
526,167,554,190,67
721,165,740,214,25
961,161,972,206,29
946,167,952,199,40
441,179,519,239,20
538,179,568,204,45
568,179,584,194,77
379,175,408,196,68
589,176,632,218,30
838,158,909,282,11
750,158,775,244,15
1051,206,1121,305,8
1109,211,1182,302,8
1140,150,1196,291,9
942,164,976,257,13
371,167,402,237,18
557,153,615,199,41
547,185,574,206,53
595,179,620,203,58
446,159,554,248,17
700,167,803,255,16
529,175,586,220,25
546,164,593,210,31
561,166,611,202,37
603,167,648,191,47
136,173,416,263,12
585,146,634,205,48
325,141,423,212,40
36,200,405,374,7
477,181,513,217,33
595,178,624,202,52
444,188,507,233,24
548,154,607,193,52
157,189,367,264,16
686,185,795,256,16
0,194,170,358,7
83,191,370,285,12
224,190,413,257,16
285,186,443,246,19
645,182,708,225,26
406,185,515,223,29
595,181,661,243,20
837,168,1076,313,9
715,178,827,237,20
677,180,771,220,27
353,183,448,243,21
484,180,533,213,38
164,191,311,253,20
280,180,367,233,26
555,180,589,199,57
471,183,521,205,49
0,188,116,251,18
11,184,151,225,29
660,176,685,191,74
589,176,613,199,50
405,186,516,266,15
955,192,1241,374,2
761,175,1116,374,7
718,171,863,299,11
664,178,742,237,20
639,178,675,209,36
654,176,711,224,25
347,185,425,214,40
243,186,331,216,40
627,177,652,198,54
828,154,867,261,12
810,160,855,264,12
742,175,776,251,14
732,155,794,306,8
496,173,543,208,35
444,177,483,200,47
348,175,385,192,64
464,153,539,362,6
618,173,657,213,30
479,180,550,223,26
520,176,562,210,33
543,174,576,197,45
597,174,664,239,19
708,139,749,190,59
418,175,430,205,38
0,191,403,374,6
494,182,529,214,37
330,174,444,218,31
105,146,217,330,7
286,186,418,282,13
814,137,905,302,9
549,176,564,189,86
685,164,739,208,31
223,151,541,329,9
224,186,335,238,22
0,189,193,336,8
429,181,493,211,36
268,183,378,242,22
914,26,1241,374,6
412,186,460,217,39
458,183,488,206,52
485,163,521,200,71
602,180,620,194,67
